src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,is_malicious
17.188.23.25,10.193.107.99,443,57515,1290,7.009506225585938e-05,1166.2,83277,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1290.0,84515,0
17.188.23.25,10.193.107.99,443,57515,1290,6.794929504394531e-05,1290.0,85753,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,1290.0,86991,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1290.0,88229,0
17.188.23.25,10.193.107.99,443,57515,1290,7.295608520507812e-05,1290.0,89467,0
10.193.107.99,17.188.23.25,57515,443,52,3.409385681152344e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.2901763916015625e-05,1042.4,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1042.4,90705,0
17.188.23.25,10.193.107.99,443,57515,1290,6.794929504394531e-05,1042.4,91943,0
17.188.23.25,10.193.107.99,443,57515,1290,8.416175842285156e-05,1042.4,93181,0
17.188.23.25,10.193.107.99,443,57515,1290,7.295608520507812e-05,1042.4,94419,0
10.193.107.99,17.188.23.25,57515,443,52,3.3855438232421875e-05,918.6,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.600120544433594e-05,794.8,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0001239776611328125,794.8,95657,0
17.188.23.25,10.193.107.99,443,57515,1290,9.512901306152344e-05,794.8,96895,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,918.6,98133,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1042.4,99371,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0002028942108154297,1042.4,100609,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1042.4,101847,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1042.4,103085,0
17.188.23.25,10.193.107.99,443,57515,1290,7.295608520507812e-05,1042.4,104323,0
17.188.23.25,10.193.107.99,443,57515,1290,7.82012939453125e-05,1166.2,105561,0
17.188.23.25,10.193.107.99,443,57515,1290,7.081031799316406e-05,1290.0,106799,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,1290.0,108037,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1290.0,109275,0
17.188.23.25,10.193.107.99,443,57515,1290,7.009506225585938e-05,1290.0,110513,0
17.188.23.25,10.193.107.99,443,57515,1290,8.392333984375e-05,1290.0,111751,0
17.188.23.25,10.193.107.99,443,57515,1290,7.486343383789062e-05,1290.0,112989,0
17.188.23.25,10.193.107.99,443,57515,1290,7.009506225585938e-05,1290.0,114227,0
17.188.23.25,10.193.107.99,443,57515,1290,7.891654968261719e-05,1290.0,115465,0
17.188.23.25,10.193.107.99,443,57515,1290,7.82012939453125e-05,1290.0,116703,0
10.193.107.99,17.188.23.25,57515,443,52,3.600120544433594e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.886222839355469e-05,1042.4,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,1042.4,117941,0
17.188.23.25,10.193.107.99,443,57515,1290,7.486343383789062e-05,1042.4,119179,0
17.188.23.25,10.193.107.99,443,57515,1290,7.200241088867188e-05,1042.4,120417,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,1042.4,121655,0
17.188.23.25,10.193.107.99,443,57515,1290,8.106231689453125e-05,1042.4,122893,0
17.188.23.25,10.193.107.99,443,57515,1290,6.794929504394531e-05,1042.4,124131,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,1042.4,125369,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1042.4,126607,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,1166.2,127845,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1290.0,129083,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1290.0,130321,0
17.188.23.25,10.193.107.99,443,57515,1290,7.414817810058594e-05,1290.0,131559,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1290.0,132797,0
17.188.23.25,10.193.107.99,443,57515,1290,6.794929504394531e-05,1290.0,134035,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1290.0,135273,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,1290.0,136511,0
17.188.23.25,10.193.107.99,443,57515,1290,7.414817810058594e-05,1290.0,137749,0
17.188.23.25,10.193.107.99,443,57515,1290,7.295608520507812e-05,1290.0,138987,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1290.0,140225,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,1290.0,141463,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1290.0,142701,0
17.188.23.25,10.193.107.99,443,57515,1290,7.796287536621094e-05,1290.0,143939,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1290.0,145177,0
17.188.23.25,10.193.107.99,443,57515,1290,6.914138793945312e-05,1290.0,146415,0
17.188.23.25,10.193.107.99,443,57515,1290,7.581710815429688e-05,1290.0,147653,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1290.0,148891,0
17.188.23.25,10.193.107.99,443,57515,1290,7.200241088867188e-05,1290.0,150129,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00011610984802246094,1290.0,151367,0
17.188.23.25,10.193.107.99,443,57515,1290,7.081031799316406e-05,1290.0,152605,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1290.0,153843,0
10.193.107.99,17.188.23.25,57515,443,52,3.695487976074219e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.218650817871094e-05,1042.4,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,7.486343383789062e-05,1042.4,155081,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0001399517059326172,1042.4,156319,0
17.188.23.25,10.193.107.99,443,57515,1290,7.319450378417969e-05,1042.4,157557,0
17.188.23.25,10.193.107.99,443,57515,1290,7.891654968261719e-05,1042.4,158795,0
17.188.23.25,10.193.107.99,443,57515,1290,7.009506225585938e-05,1042.4,160033,0
17.188.23.25,10.193.107.99,443,57515,1290,7.581710815429688e-05,1042.4,161271,0
