src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,header_len,is_malicious
10.193.107.99,17.248.201.65,57841,443,64,1.5020370483398438e-05,92.7,0,64,0
17.248.201.65,10.193.107.99,443,57840,60,4.00543212890625e-05,93.5,0,60,0
17.248.201.65,10.193.107.99,443,57841,60,6.29425048828125e-05,65.6,0,60,0
10.193.107.99,17.248.201.65,57840,443,52,1.7881393432617188e-05,63.0,1,52,0
10.193.107.99,17.248.201.65,57840,443,569,2.4080276489257812e-05,114.7,1,52,0
10.193.107.99,17.248.201.65,57841,443,52,1.4066696166992188e-05,111.5,1,52,0
10.193.107.99,17.248.201.65,57841,443,569,2.002716064453125e-05,160.6,1,52,0
17.248.201.65,10.193.107.99,443,57840,52,1.2874603271484375e-05,159.4,1,52,0
17.248.201.65,10.193.107.99,443,57840,1290,3.1948089599609375e-05,283.2,1,52,0
17.248.201.65,10.193.107.99,443,57840,1290,2.8133392333984375e-05,405.8,1239,52,0
17.248.201.65,10.193.107.99,443,57840,1290,2.6941299438476562e-05,528.4,2477,52,0
17.248.201.65,10.193.107.99,443,57840,434,1.9073486328125e-05,565.8,3715,52,0
17.248.201.65,10.193.107.99,443,57840,1290,3.2901763916015625e-05,688.8,4097,52,0
17.248.201.65,10.193.107.99,443,57840,734,2.193450927734375e-05,757.0,5335,52,0
17.248.201.65,10.193.107.99,443,57841,52,1.2159347534179688e-05,705.3,1,52,0
10.193.107.99,17.248.201.65,57840,443,52,0.00013494491577148438,705.3,518,52,0
17.248.201.65,10.193.107.99,443,57841,1290,4.410743713378906e-05,777.4,1,52,0
17.248.201.65,10.193.107.99,443,57841,1290,2.9802322387695312e-05,901.2,1239,52,0
17.248.201.65,10.193.107.99,443,57841,1290,2.8133392333984375e-05,901.2,2477,52,0
17.248.201.65,10.193.107.99,443,57841,434,2.6941299438476562e-05,815.6,3715,52,0
17.248.201.65,10.193.107.99,443,57841,1290,2.9087066650390625e-05,815.6,4097,52,0
17.248.201.65,10.193.107.99,443,57841,734,3.0040740966796875e-05,845.6,5335,52,0
10.193.107.99,17.248.201.65,57840,443,52,1.4781951904296875e-05,721.8,518,52,0
10.193.107.99,17.248.201.65,57840,443,52,1.3113021850585938e-05,653.6,518,52,0
10.193.107.99,17.248.201.65,57841,443,52,1.6927719116210938e-05,653.6,518,52,0
10.193.107.99,17.248.201.65,57841,443,52,1.2159347534179688e-05,653.6,518,52,0
10.193.107.99,17.248.201.65,57840,443,116,2.193450927734375e-05,536.2,518,52,0
10.193.107.99,17.248.201.65,57841,443,116,1.4066696166992188e-05,418.8,518,52,0
17.248.201.65,10.193.107.99,443,57840,52,2.09808349609375e-05,295.0,6017,52,0
17.248.201.65,10.193.107.99,443,57840,339,1.5974044799804688e-05,285.5,6017,52,0
17.248.201.65,10.193.107.99,443,57840,339,1.5974044799804688e-05,190.4,6304,52,0
17.248.201.65,10.193.107.99,443,57840,114,1.4066696166992188e-05,128.4,6591,52,0
10.193.107.99,17.248.201.65,57840,443,1157,3.3855438232421875e-05,238.9,582,52,0
10.193.107.99,17.248.201.65,57840,443,52,6.103515625e-05,238.9,1687,52,0
10.193.107.99,17.248.201.65,57841,443,1290,3.1948089599609375e-05,362.7,582,52,0
10.193.107.99,17.248.201.65,57841,443,497,2.5033950805664062e-05,407.2,1820,52,0
17.248.201.65,10.193.107.99,443,57841,339,3.600120544433594e-05,429.5,6017,52,0
17.248.201.65,10.193.107.99,443,57841,339,2.002716064453125e-05,451.8,6304,52,0
17.248.201.65,10.193.107.99,443,57841,114,2.002716064453125e-05,458.0,6591,52,0
10.193.107.99,17.248.201.65,57841,443,52,1.4066696166992188e-05,429.3,2265,52,0
17.248.201.65,10.193.107.99,443,57840,52,1.6927719116210938e-05,400.6,6653,52,0
17.248.201.65,10.193.107.99,443,57840,83,1.1920928955078125e-05,397.5,6653,52,0
17.248.201.65,10.193.107.99,443,57841,52,6.699562072753906e-05,287.0,6653,52,0
17.248.201.65,10.193.107.99,443,57841,83,2.9087066650390625e-05,290.1,6653,52,0
10.193.107.99,17.248.201.65,57840,443,83,5.0067901611328125e-05,169.4,1687,52,0
10.193.107.99,17.248.201.65,57840,443,52,2.8848648071289062e-05,124.9,1718,52,0
10.193.107.99,17.248.201.65,57841,443,83,4.696846008300781e-05,99.3,2265,52,0
10.193.107.99,17.248.201.65,57841,443,52,1.3113021850585938e-05,70.6,2296,52,0
17.248.201.65,10.193.107.99,443,57840,52,3.910064697265625e-05,64.4,6684,52,0
17.248.201.65,10.193.107.99,443,57841,52,1.5974044799804688e-05,64.4,6684,52,0
10.193.107.99,17.36.206.4,57842,443,64,1.002722978591919,65.6,0,64,0
17.248.201.65,10.193.107.99,443,57840,524,5.1975250244140625e-05,109.7,6684,52,0
10.193.107.99,17.248.201.65,57840,443,52,3.790855407714844e-05,109.7,1718,52,0
17.36.206.4,10.193.107.99,443,57842,60,4.1961669921875e-05,107.4,0,60,0
10.193.107.99,17.36.206.4,57842,443,52,3.314018249511719e-05,104.3,1,52,0
10.193.107.99,17.36.206.4,57842,443,569,5.0067901611328125e-05,156.0,1,52,0
10.193.107.99,17.248.201.65,57840,443,91,9.799003601074219e-05,156.8,1718,52,0
10.193.107.99,17.248.201.65,57840,443,76,3.886222839355469e-05,159.2,1757,52,0
17.248.201.65,10.193.107.99,443,57840,52,0.00012302398681640625,159.2,7156,52,0
17.248.201.65,10.193.107.99,443,57840,52,3.600120544433594e-05,159.2,7156,52,0
10.193.107.99,17.248.201.65,57840,443,52,3.409385681152344e-05,158.0,1782,52,0
17.248.201.65,10.193.107.99,443,57841,584,0.0004010200500488281,164.0,6684,52,0
10.193.107.99,17.248.201.65,57841,443,52,4.100799560546875e-05,164.0,2296,52,0
10.193.107.99,17.248.201.65,57841,443,91,0.0001049041748046875,167.1,2296,52,0
10.193.107.99,17.248.201.65,57841,443,76,4.38690185546875e-05,169.5,2335,52,0
17.36.206.4,10.193.107.99,443,57842,52,3.719329833984375e-05,117.8,1,52,0
17.36.206.4,10.193.107.99,443,57842,1290,0.00034880638122558594,237.7,1,52,0
17.36.206.4,10.193.107.99,443,57842,1290,8.20159912109375e-05,359.1,1239,52,0
17.36.206.4,10.193.107.99,443,57842,1290,7.319450378417969e-05,482.9,2477,52,0
17.36.206.4,10.193.107.99,443,57842,59,3.2901763916015625e-05,483.6,3715,52,0
10.193.107.99,17.36.206.4,57842,443,52,0.00027489662170410156,483.6,518,52,0
10.193.107.99,17.36.206.4,57842,443,52,3.719329833984375e-05,430.4,518,52,0
17.248.201.65,10.193.107.99,443,57841,52,0.00013685226440429688,430.4,7216,52,0
17.248.201.65,10.193.107.99,443,57841,52,4.100799560546875e-05,426.5,7216,52,0
10.193.107.99,17.248.201.65,57841,443,52,3.409385681152344e-05,424.1,2360,52,0
10.193.107.99,17.36.206.4,57842,443,116,0.0003008842468261719,430.5,518,52,0
17.36.206.4,10.193.107.99,443,57842,52,4.601478576660156e-05,306.7,3722,52,0
10.193.107.99,17.36.206.4,57842,443,547,0.000164031982421875,232.4,582,52,0
17.36.206.4,10.193.107.99,443,57842,52,3.695487976074219e-05,108.6,3722,52,0
17.36.206.4,10.193.107.99,443,57842,401,4.315376281738281e-05,142.8,3722,52,0
10.193.107.99,17.36.206.4,57842,443,52,0.00020503997802734375,142.8,1077,52,0
10.193.107.99,17.36.206.4,57842,443,76,1.9788742065429688e-05,145.2,1077,52,0
10.193.107.99,17.36.206.4,57842,443,52,0.00012111663818359375,145.2,1101,52,0
17.36.206.4,10.193.107.99,443,57842,76,3.1948089599609375e-05,147.6,4071,52,0
10.193.107.99,17.36.206.4,57842,443,40,1.6927719116210938e-05,146.4,1101,40,0
17.36.206.4,10.193.107.99,443,57842,52,0.00028514862060546875,140.0,4095,52,0
10.193.107.99,17.36.206.4,57842,443,40,1.8835067749023438e-05,138.8,1102,40,0
17.57.144.38,10.193.107.99,5223,57373,184,1.0027010440826416,102.5,1219,52,1
10.193.107.99,17.57.144.38,57373,5223,52,3.814697265625e-05,102.5,2690,52,0
10.193.107.99,17.57.144.38,57373,5223,84,2.288818359375e-05,70.8,2690,52,0
17.57.144.38,10.193.107.99,5223,57373,52,1.5020370483398438e-05,70.8,1351,52,0
10.193.107.99,17.248.201.69,57843,443,64,0.0004200935363769531,69.6,0,64,0
17.248.201.69,10.193.107.99,443,57843,60,1.2874603271484375e-05,70.4,0,60,0
10.193.107.99,17.248.201.69,57843,443,52,0.00018095970153808594,68.0,1,52,0
10.193.107.99,17.248.201.69,57843,443,569,2.9087066650390625e-05,120.9,1,52,0
17.248.201.69,10.193.107.99,443,57843,52,1.4066696166992188e-05,120.9,1,52,0
17.248.201.69,10.193.107.99,443,57843,1290,3.2901763916015625e-05,245.9,1,52,0
10.193.107.99,17.248.201.69,57843,443,52,1.4066696166992188e-05,232.7,518,52,0
17.248.201.69,10.193.107.99,443,57843,1290,0.0004069805145263672,356.5,1239,52,0
17.248.201.69,10.193.107.99,443,57843,1290,2.9087066650390625e-05,477.1,2477,52,0
17.248.201.69,10.193.107.99,443,57843,434,0.00021696090698242188,515.3,3715,52,0
17.248.201.69,10.193.107.99,443,57843,1290,3.504753112792969e-05,637.9,4097,52,0
17.248.201.69,10.193.107.99,443,57843,1064,2.384185791015625e-05,738.3,5335,52,0
